"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person (excluding Rent)","2001","Longford","State=100","92.4"
"Index of Disposable Income per Person (excluding Rent)","2001","Offaly","State=100","88.5"
"Index of Disposable Income per Person (excluding Rent)","2001","Westmeath","State=100","96.8"
"Index of Disposable Income per Person (excluding Rent)","2002","State","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2002","Northern and Western","State=100","90.6"
"Index of Disposable Income per Person (excluding Rent)","2002","Border","State=100","87.8"
"Index of Disposable Income per Person (excluding Rent)","2002","Leitrim","State=100","90.7"
"Index of Disposable Income per Person (excluding Rent)","2002","Sligo","State=100","94"
"Index of Disposable Income per Person (excluding Rent)","2002","Cavan","State=100","90.2"
"Index of Disposable Income per Person (excluding Rent)","2002","Donegal","State=100","82.4"
"Index of Disposable Income per Person (excluding Rent)","2002","Monaghan","State=100","91.3"
"Index of Disposable Income per Person (excluding Rent)","2002","West","State=100","93"
"Index of Disposable Income per Person (excluding Rent)","2002","Galway","State=100","93.2"
"Index of Disposable Income per Person (excluding Rent)","2002","Mayo","State=100","92"
"Index of Disposable Income per Person (excluding Rent)","2002","Roscommon","State=100","94.3"
"Index of Disposable Income per Person (excluding Rent)","2002","Southern","State=100","96.2"
"Index of Disposable Income per Person (excluding Rent)","2002","Mid-West","State=100","98"
"Index of Disposable Income per Person (excluding Rent)","2002","Clare","State=100","96.1"
"Index of Disposable Income per Person (excluding Rent)","2002","Limerick","State=100","100.1"
"Index of Disposable Income per Person (excluding Rent)","2002","Tipperary","State=100","96.7"
"Index of Disposable Income per Person (excluding Rent)","2002","South-East","State=100","94.4"
"Index of Disposable Income per Person (excluding Rent)","2002","Carlow","State=100","89.9"
"Index of Disposable Income per Person (excluding Rent)","2002","Kilkenny","State=100","91.2"
"Index of Disposable Income per Person (excluding Rent)","2002","Wexford","State=100","92.2"
"Index of Disposable Income per Person (excluding Rent)","2002","Waterford","State=100","101.4"
"Index of Disposable Income per Person (excluding Rent)","2002","South-West","State=100","96.1"
"Index of Disposable Income per Person (excluding Rent)","2002","Cork","State=100","98.6"
"Index of Disposable Income per Person (excluding Rent)","2002","Kerry","State=100","87.7"
"Index of Disposable Income per Person (excluding Rent)","2002","Eastern and Midland","State=100","106.3"
"Index of Disposable Income per Person (excluding Rent)","2002","Dublin","State=100","110.5"
"Index of Disposable Income per Person (excluding Rent)","2002","Mid-East","State=100","102"
"Index of Disposable Income per Person (excluding Rent)","2002","Kildare","State=100","105.6"
"Index of Disposable Income per Person (excluding Rent)","2002","Louth","State=100","99.7"
"Index of Disposable Income per Person (excluding Rent)","2002","Meath","State=100","97.9"
"Index of Disposable Income per Person (excluding Rent)","2002","Wicklow","State=100","103.5"
"Index of Disposable Income per Person (excluding Rent)","2002","Midland","State=100","94.9"
"Index of Disposable Income per Person (excluding Rent)","2002","Laois","State=100","92.2"
"Index of Disposable Income per Person (excluding Rent)","2002","Longford","State=100","98"
"Index of Disposable Income per Person (excluding Rent)","2002","Offaly","State=100","92.7"
"Index of Disposable Income per Person (excluding Rent)","2002","Westmeath","State=100","97.6"
"Index of Disposable Income per Person (excluding Rent)","2003","State","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2003","Northern and Western","State=100","91.2"
"Index of Disposable Income per Person (excluding Rent)","2003","Border","State=100","88"
"Index of Disposable Income per Person (excluding Rent)","2003","Leitrim","State=100","91.8"
"Index of Disposable Income per Person (excluding Rent)","2003","Sligo","State=100","95.1"
"Index of Disposable Income per Person (excluding Rent)","2003","Cavan","State=100","90.2"
"Index of Disposable Income per Person (excluding Rent)","2003","Donegal","State=100","82"
"Index of Disposable Income per Person (excluding Rent)","2003","Monaghan","State=100","91.2"
"Index of Disposable Income per Person (excluding Rent)","2003","West","State=100","94.1"
"Index of Disposable Income per Person (excluding Rent)","2003","Galway","State=100","94.9"
"Index of Disposable Income per Person (excluding Rent)","2003","Mayo","State=100","92.4"
"Index of Disposable Income per Person (excluding Rent)","2003","Roscommon","State=100","94.2"
"Index of Disposable Income per Person (excluding Rent)","2003","Southern","State=100","96.1"
"Index of Disposable Income per Person (excluding Rent)","2003","Mid-West","State=100","98.1"
"Index of Disposable Income per Person (excluding Rent)","2003","Clare","State=100","95.6"
"Index of Disposable Income per Person (excluding Rent)","2003","Limerick","State=100","100.7"
"Index of Disposable Income per Person (excluding Rent)","2003","Tipperary","State=100","96.7"
"Index of Disposable Income per Person (excluding Rent)","2003","South-East","State=100","94.2"
"Index of Disposable Income per Person (excluding Rent)","2003","Carlow","State=100","89.7"
"Index of Disposable Income per Person (excluding Rent)","2003","Kilkenny","State=100","91.5"
"Index of Disposable Income per Person (excluding Rent)","2003","Wexford","State=100","92.6"
"Index of Disposable Income per Person (excluding Rent)","2003","Waterford","State=100","100.1"
"Index of Disposable Income per Person (excluding Rent)","2003","South-West","State=100","95.8"
"Index of Disposable Income per Person (excluding Rent)","2003","Cork","State=100","98.2"
"Index of Disposable Income per Person (excluding Rent)","2003","Kerry","State=100","87.9"
"Index of Disposable Income per Person (excluding Rent)","2003","Eastern and Midland","State=100","106.1"
"Index of Disposable Income per Person (excluding Rent)","2003","Dublin","State=100","110"
"Index of Disposable Income per Person (excluding Rent)","2003","Mid-East","State=100","101.6"
"Index of Disposable Income per Person (excluding Rent)","2003","Kildare","State=100","104.8"
"Index of Disposable Income per Person (excluding Rent)","2003","Louth","State=100","98.8"
"Index of Disposable Income per Person (excluding Rent)","2003","Meath","State=100","98.9"
"Index of Disposable Income per Person (excluding Rent)","2003","Wicklow","State=100","102.9"
"Index of Disposable Income per Person (excluding Rent)","2003","Midland","State=100","96.8"
"Index of Disposable Income per Person (excluding Rent)","2003","Laois","State=100","94.4"
"Index of Disposable Income per Person (excluding Rent)","2003","Longford","State=100","98.9"
"Index of Disposable Income per Person (excluding Rent)","2003","Offaly","State=100","94.5"
"Index of Disposable Income per Person (excluding Rent)","2003","Westmeath","State=100","99.9"
"Index of Disposable Income per Person (excluding Rent)","2004","State","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2004","Northern and Western","State=100","92.6"
"Index of Disposable Income per Person (excluding Rent)","2004","Border","State=100","90.4"
"Index of Disposable Income per Person (excluding Rent)","2004","Leitrim","State=100","97.1"
"Index of Disposable Income per Person (excluding Rent)","2004","Sligo","State=100","96.7"
"Index of Disposable Income per Person (excluding Rent)","2004","Cavan","State=100","94.4"
"Index of Disposable Income per Person (excluding Rent)","2004","Donegal","State=100","83"
"Index of Disposable Income per Person (excluding Rent)","2004","Monaghan","State=100","95"
"Index of Disposable Income per Person (excluding Rent)","2004","West","State=100","94.5"
"Index of Disposable Income per Person (excluding Rent)","2004","Galway","State=100","96.2"
"Index of Disposable Income per Person (excluding Rent)","2004","Mayo","State=100","92.2"
"Index of Disposable Income per Person (excluding Rent)","2004","Roscommon","State=100","93.3"
"Index of Disposable Income per Person (excluding Rent)","2004","Southern","State=100","96.3"
"Index of Disposable Income per Person (excluding Rent)","2004","Mid-West","State=100","96.4"
"Index of Disposable Income per Person (excluding Rent)","2004","Clare","State=100","93.7"
"Index of Disposable Income per Person (excluding Rent)","2004","Limerick","State=100","98.5"
"Index of Disposable Income per Person (excluding Rent)","2004","Tipperary","State=100","96"
"Index of Disposable Income per Person (excluding Rent)","2004","South-East","State=100","95.2"
"Index of Disposable Income per Person (excluding Rent)","2004","Carlow","State=100","91.3"
"Index of Disposable Income per Person (excluding Rent)","2004","Kilkenny","State=100","89.3"
"Index of Disposable Income per Person (excluding Rent)","2004","Wexford","State=100","94.5"
"Index of Disposable Income per Person (excluding Rent)","2004","Waterford","State=100","102.5"
"Index of Disposable Income per Person (excluding Rent)","2004","South-West","State=100","96.8"
"Index of Disposable Income per Person (excluding Rent)","2004","Cork","State=100","99.5"
"Index of Disposable Income per Person (excluding Rent)","2004","Kerry","State=100","87.5"
"Index of Disposable Income per Person (excluding Rent)","2004","Eastern and Midland","State=100","105.5"
"Index of Disposable Income per Person (excluding Rent)","2004","Dublin","State=100","108.4"
"Index of Disposable Income per Person (excluding Rent)","2004","Mid-East","State=100","102.9"
"Index of Disposable Income per Person (excluding Rent)","2004","Kildare","State=100","105.2"
"Index of Disposable Income per Person (excluding Rent)","2004","Louth","State=100","104.2"
"Index of Disposable Income per Person (excluding Rent)","2004","Meath","State=100","101.9"
"Index of Disposable Income per Person (excluding Rent)","2004","Wicklow","State=100","99.4"
"Index of Disposable Income per Person (excluding Rent)","2004","Midland","State=100","97.3"
"Index of Disposable Income per Person (excluding Rent)","2004","Laois","State=100","97.3"
"Index of Disposable Income per Person (excluding Rent)","2004","Longford","State=100","96.4"
"Index of Disposable Income per Person (excluding Rent)","2004","Offaly","State=100","95.8"
"Index of Disposable Income per Person (excluding Rent)","2004","Westmeath","State=100","98.9"
"Index of Disposable Income per Person (excluding Rent)","2005","State","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2005","Northern and Western","State=100","92.7"
"Index of Disposable Income per Person (excluding Rent)","2005","Border","State=100","89.9"
"Index of Disposable Income per Person (excluding Rent)","2005","Leitrim","State=100","98.2"
"Index of Disposable Income per Person (excluding Rent)","2005","Sligo","State=100","95.2"
"Index of Disposable Income per Person (excluding Rent)","2005","Cavan","State=100","96.5"
"Index of Disposable Income per Person (excluding Rent)","2005","Donegal","State=100","81.4"
"Index of Disposable Income per Person (excluding Rent)","2005","Monaghan","State=100","95.3"
"Index of Disposable Income per Person (excluding Rent)","2005","West","State=100","95.1"
"Index of Disposable Income per Person (excluding Rent)","2005","Galway","State=100","96.4"
"Index of Disposable Income per Person (excluding Rent)","2005","Mayo","State=100","92.1"
"Index of Disposable Income per Person (excluding Rent)","2005","Roscommon","State=100","96.3"
"Index of Disposable Income per Person (excluding Rent)","2005","Southern","State=100","97.2"
"Index of Disposable Income per Person (excluding Rent)","2005","Mid-West","State=100","97.4"
"Index of Disposable Income per Person (excluding Rent)","2005","Clare","State=100","95.6"
